UNIQUE_ID,STATION_NAME,OBLIGATION_NAME,PERIOD_FROM,PERIOD_TO,FILING_DATE,Year,IS_NIL_RETURN,ASSMT_TYPE,IS_RESIDENT,RN,Other Income,IS_EXEMPT_CERT_PRSNT,IS_EXEMPT_CERT_PRSNT_1,MORTAGE_INTEREST,PERSONAL_RELIEF,INSURANCE_RELIEF,HOME_OWN_SAVING_PLAN_DEP,EXEMPTION_AMT,CHARGEABLE_INCOME,TAX_ON_CHARGEABLE_INCOME,TAX_DEDUCTED,TAX_PAYABLE_OR_REFUNDABLE,INVEST_DESC_PLNTMSCH,INVEST_DEDC_BLDG,CAP_ALLW,WEAR_TEAR_DEDC_WT,WEAR_TEAR_DEDC_MINING,AMOUNT_BORROWED,AMT_INTEREST_PAID,TOT_DEDUCTIONS,TAX_CREDITS,TAX_DUE,BUSS_GROSS_TURNOVER,COMM_GROSS_TURNOVER,FARM_GROSS_TURNOVER,INT_GROSS_TURNOVER,REN_GROSS_TURNOVER,OTH_GROSS_TURNOVER,CONS_GROSS_TURNOVER,BUSS_COST_OF_SALES,COMM_COST_OF_SALES,FARM_COST_OF_SALES,INT_COST_OF_SALES,REN_COST_OF_SALES,OTH_COST_OF_SALES,CONS_COST_OF_SALES,BUSS_TOT_OPENING_STOCK,COMM_TOT_OPENING_STOCK,FARM_TOT_OPENING_STOCK,INT_TOT_OPENING_STOCK,REN_TOT_OPENING_STOCK,OTH_TOT_OPENING_STOCK,CONS_TOT_OPENING_STOCK,BUSS_TOTAL_OTHER_INCOME,COMM_TOTAL_OTHER_INCOME,FARM_TOTAL_OTHER_INCOME,INT_TOTAL_OTHER_INCOME,REN_TOTAL_OTHER_INCOME,OTH_TOTAL_OTHER_INCOME,CONS_TOTAL_OTHER_INCOME
28,Meru,Income Tax - Resident Individual,13/10/2023,31/12/2023,22/06/2024,2023,Y,S,,1,,,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,KERICHO,Income Tax - Resident Individual,01/01/2023,31/12/2023,12/04/2024,2023,N,S,Y,1,N,N,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,West of Nairobi,Income Tax - Resident Individual,22/09/2023,31/12/2023,26/06/2024,2023,N,S,Y,1,N,N,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,NAROK,Income Tax - Resident Individual,26/01/2023,31/12/2023,30/06/2024,2023,Y,S,,1,,,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,BUNGOMA,Income Tax - Resident Individual,01/01/2023,31/12/2023,16/05/2024,2023,N,S,Y,1,N,N,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,KERICHO,Income Tax - Resident Individual,23/08/2023,31/12/2023,30/06/2024,2023,Y,S,,1,,,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Eldoret,Income Tax - Resident Individual,24/01/2023,31/12/2023,06/03/2024,2023,N,S,Y,1,N,N,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,KITALE,Income Tax - Resident Individual,14/08/2023,31/12/2023,04/04/2024,2023,N,S,Y,1,N,N,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,North of Nairobi,Income Tax - Resident Individual,25/03/2023,31/12/2023,08/06/2024,2023,Y,S,,1,,,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,LAMU,Income Tax - Resident Individual,27/03/2023,31/12/2023,15/02/2024,2023,N,S,Y,1,N,N,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Malindi,Income Tax - Resident Individual,01/01/2023,31/12/2023,30/05/2024,2023,N,S,Y,1,N,N,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,East of Nairobi,Income Tax - Resident Individual,23/03/2023,31/12/2023,20/06/2024,2023,Y,S,,1,,,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,KIAMBU,Income Tax - Resident Individual,18/01/2023,31/12/2023,13/06/2024,2023,N,S,Y,1,N,N,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,KERICHO,Income Tax - Resident Individual,23/08/2023,31/12/2023,30/05/2024,2023,Y,S,,1,,,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,KAJIADO,Income Tax - Non-Resident Individual,01/01/2023,31/12/2023,30/06/2024,2023,Y,S,,1,,,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Thika,Income Tax - Resident Individual,26/06/2023,31/12/2023,06/04/2024,2023,Y,S,,1,,,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Eldoret,Income Tax - Resident Individual,18/01/2023,31/12/2023,26/02/2024,2023,N,S,Y,1,N,N,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Thika,Income Tax - Resident Individual,12/06/2023,31/12/2023,28/06/2024,2023,Y,S,,1,,,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Kakamega,Income Tax - Resident Individual,01/01/2023,31/12/2023,22/06/2024,2023,Y,S,,1,,,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Nyeri,Income Tax - Resident Individual,01/01/2023,31/12/2023,14/06/2024,2023,N,S,Y,1,N,N,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,East of Nairobi,Income Tax - Non-Resident Individual,01/01/2023,31/12/2023,06/07/2024,2023,Y,S,,1,,,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,LAMU,Income Tax - Resident Individual,01/01/2023,31/12/2023,05/06/2024,2023,Y,S,,1,,,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Thika,Income Tax - Resident Individual,30/03/2023,31/12/2023,18/01/2024,2023,Y,S,,1,,,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Kisumu,Income Tax - Resident Individual,15/08/2023,31/12/2023,12/06/2024,2023,Y,S,,1,,,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Kisumu,Income Tax - Resident Individual,30/06/2023,31/12/2023,19/06/2024,2023,Y,S,,1,,,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Mombasa South,Income Tax - Resident Individual,19/10/2023,31/12/2023,19/06/2024,2023,Y,S,,1,,,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Kisumu,Income Tax - Resident Individual,11/08/2023,31/12/2023,01/07/2024,2023,Y,S,,1,,,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Mombasa South,Income Tax - Resident Individual,28/08/2023,31/12/2023,04/07/2024,2023,Y,S,,1,,,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,BUNGOMA,Income Tax - Resident Individual,01/01/2023,31/12/2023,06/06/2024,2023,N,S,Y,1,N,N,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,MURANGA,Income Tax - Resident Individual,25/05/2023,31/12/2023,25/06/2024,2023,Y,S,,1,,,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,KIAMBU,Income Tax - Resident Individual,14/03/2023,31/12/2023,01/06/2024,2023,Y,S,,1,,,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,KERICHO,Income Tax - Resident Individual,01/01/2023,31/12/2023,22/05/2024,2023,N,S,Y,1,N,N,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,North of Nairobi,Income Tax - Resident Individual,01/01/2023,31/12/2023,30/06/2024,2023,N,S,Y,1,N,N,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
