,weight,total_gross_income,pitax,table_row
547,10.0,5626.9358669900475,562.6935866990048,1
542,10.0,5626.9358669900475,562.6935866990048,1
375,10.0,5626.9358669900475,562.6935866990048,1
723,10.0,5626.9358669900475,562.6935866990048,1
175,10.0,5626.9358669900475,562.6935866990048,1
273,10.0,5626.9358669900475,562.6935866990048,1
370,10.0,5626.9358669900475,562.6935866990048,1
315,10.0,5626.9358669900475,562.6935866990048,1
313,10.0,5626.9358669900475,562.6935866990048,1
36,10.0,5626.9358669900475,562.6935866990048,1
353,10.0,5626.9358669900475,562.6935866990048,1
137,10.0,5667.45385703138,850.163078554707,1
674,10.0,5711.348346242823,571.1348346242823,1
465,10.0,5748.489837114043,373.65183941241287,1
352,10.0,5858.226060142653,878.733909021398,1
6,10.0,6067.569008689538,903.7753513034307,1
739,10.0,6204.317225079034,620.4317225079035,1
138,10.0,6292.106203501923,943.8609305252885,1
388,10.0,6302.412273025848,0.0,1
492,10.0,6415.348423210976,490.8585668548925,1
124,10.0,6444.048666156919,959.9022999235378,1
691,10.0,6526.772895824641,975.475934373696,1
717,10.0,6570.667385036083,970.5701077554124,1
513,10.0,6611.185375077415,661.1185375077416,1
560,10.0,6617.938373417639,132.35876746835274,1
480,10.0,6678.715358479635,667.8715358479635,1
705,10.0,6704.0391022554695,1004.8408653383203,1
639,10.0,6712.480350180746,996.7320525271118,1
728,10.0,6783.386832753077,1017.3880249129616,1
586,10.0,6903.25255329202,1035.502882993803,1
332,10.0,6955.588290428742,1033.8882435643113,1
642,10.0,6974.159035864353,453.320337331183,1
73,10.0,6989.353282129851,1048.4029923194776,1
179,10.0,7051.818516776903,1055.1177775165354,1
260,10.0,7210.513977772125,1051.1120966658186,1
764,10.0,7502.58115598673,1125.3271733980096,1
567,10.0,7502.58115598673,750.258115598673,1
306,10.0,7502.58115598673,750.258115598673,1
687,10.0,7708.547605363504,1156.3421408045256,1
730,10.0,7738.936097894503,1160.7804146841754,1
127,10.0,7846.984071338057,1177.0776107007084,1
72,10.0,7879.060813454113,787.9060813454113,1
392,10.0,7917.890553910389,1177.9335830865582,1
196,10.0,8029.315026524052,1194.1072539786078,1
408,10.0,8130.610001627384,1218.1515002441074,1
540,10.0,8160.998494158382,816.0998494158382,1
199,10.0,8257.228720506546,412.8614360253273,1
450,10.0,8441.2479252776,844.12479252776,1
93,10.0,8475.01291697871,1271.2519375468066,1
459,10.0,8535.789902040708,853.5789902040708,1
117,10.0,8701.238361376149,1287.1257542064222,1
205,10.0,8819.415832330034,1310.2523748495053,1
512,10.0,8914.050185556314,0.0,1
743,10.0,9028.75878087692,586.8693207569999,1
469,10.0,9162.130498096307,1369.8645747144458,1
348,10.0,9293.813965730638,1386.9470948595956,1
697,10.0,9379.91469456847,937.991469456847,1
584,10.0,9379.91469456847,937.991469456847,1
320,10.0,9395.108940833969,1407.8413411250951,1
329,10.0,9460.950674651134,1419.08260119767,1
377,10.0,9538.610155563685,953.8610155563686,1
405,10.0,9648.373803993978,964.8373803993978,1
636,10.0,9724.317609919795,972.4317609919796,1
386,10.0,9729.38235867496,194.58764717349914,1
105,10.0,9736.135357015184,1458.9653035522774,1
265,10.0,9763.147350376072,1453.3271025564109,1
263,10.0,9866.130575064457,197.3226115012891,1
360,10.0,9921.84281137129,1477.0714217056934,1
188,10.0,10094.044269046954,1009.4044269046954,1
635,10.0,10332.087460539782,1033.2087460539783,1
363,10.0,10350.770308586525,0.0,1
425,10.0,10507.665417385557,1050.7665417385558,1
675,10.0,10744.020359293329,1074.402035929333,1
740,10.0,10933.104312819547,1638.825646922932,1
267,10.0,10949.986808670103,930.7488787369589,1
351,10.0,10949.986808670103,766.4990766069072,1
721,10.0,10990.504798711432,1099.0504798711434,1
494,10.0,11137.382512611264,1670.6523768916895,2
689,10.0,11216.730243108872,729.0874658020767,2
