,weight_2018,pitax_2018,total_gross_income_2018,weight_2019,pitax_2019,total_gross_income_2019,weight_2020,pitax_2020,total_gross_income_2020,weight_2021,pitax_2021,total_gross_income_2021,weight_2022,pitax_2022,total_gross_income_2022,weight_ref_2022,pitax_ref_2022,total_gross_income_ref_2022,weight_ref_2023,pitax_ref_2023,total_gross_income_ref_2023,weight_ref_2024,pitax_ref_2024,total_gross_income_ref_2024,weight_ref_2025,pitax_ref_2025,total_gross_income_ref_2025,weight_ref_2026,pitax_ref_2026,total_gross_income_ref_2026,weight_ref_2027,pitax_ref_2027,total_gross_income_ref_2027,ETR,ETR_ref
36,"2,340.0000",247.0000,"3,305.0000","2,340.0000",272.0000,"3,613.0000","2,340.0000",271.0000,"3,598.0000","2,340.0000",305.0000,"3,970.0000","2,340.0000",327.0000,"4,172.0000","2,340.0000",327.0000,"4,172.0000","2,340.0000",583.0000,"6,178.0000","2,340.0000",977.0000,"9,555.0000","2,340.0000","1,049.0000","10,147.0000","2,340.0000","1,121.0000","10,739.0000","2,340.0000","1,202.0000","11,405.0000",0.0784,0.0784
37,"2,330.0000",255.0000,"3,320.0000","2,330.0000",281.0000,"3,630.0000","2,330.0000",279.0000,"3,614.0000","2,330.0000",316.0000,"3,988.0000","2,330.0000",338.0000,"4,192.0000","2,330.0000",338.0000,"4,192.0000","2,330.0000",588.0000,"6,277.0000","2,330.0000","1,018.0000","9,735.0000","2,330.0000","1,092.0000","10,339.0000","2,330.0000","1,166.0000","10,942.0000","2,330.0000","1,249.0000","11,620.0000",0.0806,0.0806
38,"2,330.0000",258.0000,"3,349.0000","2,330.0000",286.0000,"3,661.0000","2,330.0000",284.0000,"3,645.0000","2,330.0000",322.0000,"4,022.0000","2,330.0000",345.0000,"4,228.0000","2,330.0000",345.0000,"4,228.0000","2,330.0000",609.0000,"6,404.0000","2,330.0000","1,028.0000","9,952.0000","2,330.0000","1,103.0000","10,569.0000","2,330.0000","1,178.0000","11,185.0000","2,330.0000","1,262.0000","11,879.0000",0.0816,0.0816
39,"2,330.0000",260.0000,"3,379.0000","2,330.0000",287.0000,"3,694.0000","2,330.0000",285.0000,"3,678.0000","2,330.0000",324.0000,"4,059.0000","2,330.0000",346.0000,"4,266.0000","2,330.0000",346.0000,"4,266.0000","2,330.0000",649.0000,"6,526.0000","2,330.0000","1,070.0000","10,166.0000","2,330.0000","1,147.0000","10,797.0000","2,330.0000","1,225.0000","11,427.0000","2,330.0000","1,312.0000","12,135.0000",0.0811,0.0811
40,"2,330.0000",261.0000,"3,406.0000","2,330.0000",290.0000,"3,724.0000","2,330.0000",287.0000,"3,708.0000","2,330.0000",327.0000,"4,091.0000","2,330.0000",350.0000,"4,300.0000","2,330.0000",350.0000,"4,300.0000","2,330.0000",639.0000,"6,647.0000","2,330.0000","1,093.0000","10,405.0000","2,330.0000","1,172.0000","11,050.0000","2,330.0000","1,252.0000","11,694.0000","2,330.0000","1,341.0000","12,419.0000",0.0814,0.0814
41,"2,330.0000",267.0000,"3,436.0000","2,330.0000",294.0000,"3,757.0000","2,330.0000",294.0000,"3,741.0000","2,330.0000",335.0000,"4,128.0000","2,330.0000",358.0000,"4,338.0000","2,330.0000",358.0000,"4,338.0000","2,330.0000",660.0000,"6,771.0000","2,330.0000","1,106.0000","10,659.0000","2,330.0000","1,186.0000","11,320.0000","2,330.0000","1,265.0000","11,980.0000","2,330.0000","1,355.0000","12,723.0000",0.0825,0.0825
42,"2,330.0000",268.0000,"3,467.0000","2,330.0000",296.0000,"3,791.0000","2,330.0000",295.0000,"3,774.0000","2,330.0000",336.0000,"4,165.0000","2,330.0000",360.0000,"4,377.0000","2,330.0000",360.0000,"4,377.0000","2,330.0000",663.0000,"6,888.0000","2,330.0000","1,170.0000","10,931.0000","2,330.0000","1,254.0000","11,608.0000","2,330.0000","1,338.0000","12,286.0000","2,330.0000","1,432.0000","13,047.0000",0.0822,0.0822
43,"2,330.0000",278.0000,"3,501.0000","2,330.0000",308.0000,"3,828.0000","2,330.0000",306.0000,"3,811.0000","2,330.0000",349.0000,"4,205.0000","2,330.0000",373.0000,"4,420.0000","2,330.0000",373.0000,"4,420.0000","2,330.0000",685.0000,"7,044.0000","2,330.0000","1,182.0000","11,183.0000","2,330.0000","1,266.0000","11,876.0000","2,330.0000","1,351.0000","12,569.0000","2,330.0000","1,447.0000","13,348.0000",0.0844,0.0844
44,"2,330.0000",276.0000,"3,536.0000","2,330.0000",307.0000,"3,866.0000","2,330.0000",305.0000,"3,849.0000","2,330.0000",347.0000,"4,247.0000","2,330.0000",371.0000,"4,464.0000","2,330.0000",371.0000,"4,464.0000","2,330.0000",694.0000,"7,190.0000","2,330.0000","1,237.0000","11,441.0000","2,330.0000","1,325.0000","12,151.0000","2,330.0000","1,413.0000","12,860.0000","2,330.0000","1,513.0000","13,657.0000",0.0831,0.0831
45,"2,340.0000",270.0000,"3,589.0000","2,340.0000",301.0000,"3,923.0000","2,340.0000",300.0000,"3,906.0000","2,340.0000",343.0000,"4,311.0000","2,340.0000",367.0000,"4,530.0000","2,340.0000",367.0000,"4,530.0000","2,340.0000",742.0000,"7,370.0000","2,340.0000","1,281.0000","11,756.0000","2,340.0000","1,373.0000","12,485.0000","2,340.0000","1,464.0000","13,213.0000","2,340.0000","1,567.0000","14,032.0000",0.0810,0.0810
46,"2,330.0000",283.0000,"3,607.0000","2,330.0000",315.0000,"3,944.0000","2,330.0000",314.0000,"3,927.0000","2,330.0000",357.0000,"4,333.0000","2,330.0000",381.0000,"4,554.0000","2,330.0000",381.0000,"4,554.0000","2,330.0000",724.0000,"7,467.0000","2,330.0000","1,271.0000","11,966.0000","2,330.0000","1,361.0000","12,707.0000","2,330.0000","1,452.0000","13,449.0000","2,330.0000","1,554.0000","14,283.0000",0.0837,0.0837
47,"2,330.0000",284.0000,"3,642.0000","2,330.0000",319.0000,"3,982.0000","2,330.0000",317.0000,"3,964.0000","2,330.0000",362.0000,"4,375.0000","2,330.0000",387.0000,"4,598.0000","2,330.0000",387.0000,"4,598.0000","2,330.0000",744.0000,"7,596.0000","2,330.0000","1,331.0000","12,253.0000","2,330.0000","1,426.0000","13,012.0000","2,330.0000","1,520.0000","13,772.0000","2,330.0000","1,627.0000","14,626.0000",0.0842,0.0842
